G2C,Kamchatka Leaf Warbler,Phylloscopus examinandus,,
,White-browed Shortwing,Brachypteryx montana,ADD,
,Negros Bleeding-heart,Gallicolumba keayi,ADD,TARGET
H9A,White Wagtail,Motacilla alba,,
,Yellowish White-eye,Zosterops nigrorum,ADD,
,White-winged Cuckooshrike,Analisoma ostenta,ADD,TARGET
,Blue-winged Pitta,Pitta moluccensis,ADD,
D9A,Blue-breasted Pitta,Erythropitta erythrogaster,,
A5C,Red Collared-Dove,Streptopelia tranquebarica,,
,Spotted Kingfisher,Actenoides lindsayi,ADD,TARGET
E5A,White-breasted Woodswallow,Artamus leucorynchus,,
D1A,Common Kingfisher,Alcedo atthis,,
F5B,Oriental Skylark,Alauda gulgula,,
C4E,Striated Heron,Butorides striata,,
A9B,Purple Needletail,Hirundapus celebensis,,
B4K,Long-toed Stint,Calidris subminuta,,
A5F,Zebra Dove,Geopelia striata,,
H7C,Scaly-breasted Munia,Lonchura punctulata,,
A5H,White-eared Brown-Dove,Phapitreron leucotis,,
H1I,Little Pied Flycatcher,Ficedula westermanni,,
E2A,Scarlet Minivet,Pericrocotus speciosus,,
D9A,Hooded Pitta,Pitta sordida,,
E4A,Philippine Oriole,Oriolus steerii,,
B2A,Buff-banded Rail,Gallirallus philippensis,,
F9D,Asian House-Martin,Delichon dasypus,,
C4C,Cattle Egret,Bubulcus ibis,,
C5C,Philippine Honey-buzzard,Pernis steerei,,
F8B,Tawny Grassbird,Cincloramphus timoriensis,,
H7C,White-bellied Munia,Lonchura leucogastra,,
A5A,Metallic Pigeon,Columba vitiensis,,
A9C,Ameline Swiftlet,Aerodramus amelis,,
B4N,Terek Sandpiper,Xenus cinereus,,
A3D,Red Junglefowl,Gallus gallus,,
H1B,Philippine Magpie-Robin,Copsychus mindanensis,,
B8B,Wedge-tailed Shearwater,Ardenna pacifica,,
C4A,Cinnamon Bittern,Ixobrychus cinnamomeus,,
B4K,Sanderling,Calidris alba,,
C6A,Australasian Grass-Owl,Tyto longimembris,,
A6E,Philippine Hawk-Cuckoo,Hierococcyx pectoralis,,
B6E,Common Tern,Sterna hirundo,,
H3B,Pygmy Flowerpecker,Dicaeum pygmaeum,,
A5K,Pied Imperial-Pigeon,Ducula bicolor,,
B1A,Whiskered Treeswift,Hemiprocne comata,,
B4L,Asian Dowitcher,Limnodromus semipalmatus,,
F4A,Elegant Tit,Periparus elegans,,
C4C,Chinese Egret,Egretta eulophotes,,
C5E,Rufous-bellied Eagle,Lophotriorchis kienerii,,
E3A,White-vented Whistler,Pachycephala homeyeri,,
H1A,Gray-streaked Flycatcher,Muscicapa griseisticta,,
B4G,Far Eastern Curlew,Numenius madagascariensis,,
F3A,Citrine Canary-Flycatcher,Culicicapa helianthea,,
B4K,Sharp-tailed Sandpiper,Calidris acuminata,,
B6A,Black-headed Gull,Chroicocephalus ridibundus,,
G2B,Philippine Leaf Warbler,Phylloscopus olivaceus,,
A9D,Asian Palm-Swift,Cypsiurus balasiensis,,
A1E,Philippine Duck,Anas luzonica,,
D2A,Blue-tailed Bee-eater,Merops philippinus,,
D7A,Blue-crowned Racquet-tail,Prioniturus discurus,,
H1H,Narcissus Flycatcher,Ficedula narcissina,,
B4D,Pacific Golden-Plover,Pluvialis fulva,,
A5K,Pink-bellied Imperial-Pigeon,Ducula poliocephala,,
D5A,Philippine Falconet,Microhierax erythrogenys,,
B4P,Gray-tailed Tattler,Tringa brevipes,,
D2B,Dollarbird,Eurystomus orientalis,,
G8B,Asian Glossy Starling,Aplonis panayensis,,
,Visayan Fantail,Rhipidura albiventris,ADD,TARGET
B4M,Swinhoe's Snipe,Gallinago megala,,
D1D,Dimorphic Dwarf-Kingfisher,Ceyx margarethae,,
B4P,Common Redshank,Tringa totanus,,
B6E,Great Crested Tern,Thalasseus bergii,,
B4G,Whimbrel,Numenius phaeopus,,
H1H,Mugimaki Flycatcher,Ficedula mugimaki,,
A5J,Black-chinned Fruit-Dove,Ptilinopus leclancheri,,
B4G,Eurasian Curlew,Numenius arquata,,
,Visayan Shama,Copsychus superciliaris,ADD,TARGET
C5H,Crested Goshawk,Accipiter trivirgatus,,
B4K,Broad-billed Sandpiper,Calidris falcinellus,,
C6F,Luzon Boobook,Ninox philippensis,,
C4F,Rufous Night-Heron,Nycticorax caledonicus,,
H9A,Gray Wagtail,Motacilla cinerea,,
F1A,Brown Shrike,Lanius cristatus,,
H9A,Eastern Yellow Wagtail,Motacilla tschutschensis,,
,Island Thrush,Turdus poliocephalus,ADD,
,Nordmann's Greenshank,Tringa guttifer,ADD,
,Tufted Duck,Aythya fuligula,ADD,
B4J,Red Knot,Calidris canutus,,
F9C,Pacific Swallow,Hirundo tahitica,,
,Negros Jungle-Flycatcher,Vauriella albigularis,ADD,TARGET
B6E,Black-naped Tern,Sterna sumatrana,,
A6F,Oriental Cuckoo,Cuculus optatus,,
B4J,Great Knot,Calidris tenuirostris,,
F7A,Oriental Reed Warbler,Acrocephalus orientalis,,
,Blue-and-white Flycatcher,Cyanoptila cyanomelana,ADD,
A8A,Philippine Nightjar,Caprimulgus manillensis,,
D4E,White-bellied Woodpecker,Dryocopus javensis,,
B2C,Watercock,Gallicrex cinerea,,
G8A,Stripe-sided Rhabdornis,Rhabdornis mystacalis,,
C4C,Pacific Reef-Heron,Egretta sacra,,
C5I,Brahminy Kite,Haliastur indus,,
C1A,Lesser Frigatebird,Fregata ariel,,
B2E,White-breasted Waterhen,Amaurornis phoenicurus,,
D2A,Rufous-crowned Bee-eater,Merops americanus,,
A5I,Philippine Green-Pigeon,Treron axillaris,,
B4P,Common Sandpiper,Actitis hypoleucos,,
B4D,Little Ringed Plover,Charadrius dubius,,
H1A,Asian Brown Flycatcher,Muscicapa dauurica,,
B4O,Red-necked Phalarope,Phalaropus lobatus,,
C5A,Osprey,Pandion haliaetus,,
G2B,Lemon-throated Leaf Warbler,Phylloscopus cebuensis,,TARGET
,Crested Myna,Acridotheres cristatellus,ADD,
,Aleutian Tern,Onychoprion aleuticus,ADD,
G4F,Warbling White-eye,Zosterops japonicus,,
A5E,Philippine Cuckoo-Dove,Macropygia tenuirostris,,
F9C,Barn Swallow,Hirundo rustica,,
D1E,Collared Kingfisher,Todiramphus chloris,,
C6F,Chocolate Boobook,Ninox randi,,
A5C,Philippine Collared-Dove,Streptopelia dusumieri,,
,Germain's Swiftlet,Aerodramus germani,ADD,
B4E,Greater Painted-Snipe,Rostratula benghalensis,,
